Uniprot Accession	Gene	Description	Peptides used for quantitation	Confidence score	Molecular weight (Da)	LB
P08957	hsdM	Type I restriction enzyme EcoKI M protein OS=Escherichia coli (strain K12) GN=hsdM PE=1 SV=1	13	1011.42	59251.50285	768
P0ACQ4	oxyR	Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1	13	827.5	34235.73131	578
P0A6P5	der	GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	13	689.91	54983.4506	369
P76403	yegQ	Uncharacterized protease yegQ OS=Escherichia coli (strain K12) GN=yegQ PE=3 SV=1	13	605.28	51142.48352	684
P0AAG8	mglA	Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1	13	780.52	56361.45375	336
P69783	crr	Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2	12	660.78	18221.73165	25210
P0A8G6	wrbA	Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2	12	745.93	20814.41143	3467
P0ADE6	ygaU	Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2	12	861.01	16035.27366	1146
P0A7W7	rpsH	30S ribosomal protein S8 OS=Escherichia coli (strain K12) GN=rpsH PE=1 SV=2	12	717.25	14099.51014	58622
P0A707	infC	Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1	12	945.43	20533.04237	13496
P45523	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1	12	591.92	28846.14416	10637
P0AAC0	uspE	Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	12	778.24	35666.29663	1635
P0ABA4	atpH	ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1	12	788.83	19301.95116	11886
P0A805	frr	Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1	12	702.98	20607.85322	8329
P07003	poxB	Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1	12	774.23	61953.54994	170
P0AAI9	fabD	Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2	12	731.15	32378.37752	6549
P0A6Y5	hslO	33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1	12	638.13	32495.88996	5556
P31057	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	12	702	28201.38237	2118
P31663	panC	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	12	792.88	31559.67743	1437
P04425	gshB	Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1	12	909.05	35520.25741	1594
P07024	ushA	Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2	12	656.64	60767.7396	459
P06987	hisB	Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1	12	798.46	40234.25797	692
P0A9K3	ybeZ	PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2	12	744.03	38996.53281	1453
P0A6C8	argB	Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1	12	980.26	27124.47333	405
P77689	sufD	FeS cluster assembly protein sufD OS=Escherichia coli (strain K12) GN=sufD PE=1 SV=1	12	913.94	46775.93929	154
P0AA16	ompR	Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1	12	639.67	27318.15933	1606
P69811	fruB	Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1	12	901.74	39605.51132	590
P0AE12	amn	AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1	12	742.55	53943.36241	313
P60560	guaC	GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1	12	715.5	37341.7954	1215
P09127	hemX	Putative uroporphyrinogen-III C-methyltransferase OS=Escherichia coli (strain K12) GN=hemX PE=1 SV=1	12	695.25	42918.90191	996
P0A6V1	glgC	Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) GN=glgC PE=1 SV=2	12	683.23	48648.4803	309
P06721	metC	Cystathionine beta-lyase metC OS=Escherichia coli (strain K12) GN=metC PE=1 SV=1	12	875.64	43167.00941	319
P16456	selD	Selenide, water dikinase OS=Escherichia coli (strain K12) GN=selD PE=1 SV=1	12	687.88	36645.68535	1402
P22188	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	12	772.2	53291.93557	700
P21888	cysS	Cysteinyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2	12	798.56	52150.62339	856
P00935	metB	Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1	12	717.97	41506.48419	235
P25522	mnmE	tRNA modification GTPase mnmE OS=Escherichia coli (strain K12) GN=mnmE PE=1 SV=3	12	843.89	49182.62977	484
P02924	araF	L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2	12	453.09	35500.25494	101
P05194	aroD	3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) GN=aroD PE=1 SV=2	12	628.89	27431.21147	475
P37744	rmlA	Glucose-1-phosphate thymidylyltransferase 1 OS=Escherichia coli (strain K12) GN=rmlA1 PE=1 SV=2	12	557.1	32654.70736	1510
P39180	flu	Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3	12	857.48	106742.9816	103
P24215	uxuA	Mannonate dehydratase OS=Escherichia coli (strain K12) GN=uxuA PE=1 SV=2	12	707.59	44791.5738	1902
P25437	frmA	S-(hydroxymethyl)glutathione dehydrogenase OS=Escherichia coli (strain K12) GN=frmA PE=1 SV=3	12	609.35	39315.85811	1528
P69831	gatC	Galactitol permease IIC component OS=Escherichia coli (strain K12) GN=gatC PE=1 SV=1	12	660.86	48315.16646	3567
P38489	nfnB	Oxygen-insensitive NAD(P)H nitroreductase OS=Escherichia coli (strain K12) GN=nfnB PE=1 SV=1	12	593.25	23872.20471	2039
P0AG16	purF	Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) GN=purF PE=1 SV=2	12	769.17	56434.59517	110
P0A7B1	ppk	Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2	12	657.97	80363.19065	71
P17854	cysH	Phosphoadenosine phosphosulfate reductase OS=Escherichia coli (strain K12) GN=cysH PE=1 SV=3	12	653.72	27940.45168	476
P16676	cysA	Sulfate/thiosulfate import ATP-binding protein CysA OS=Escherichia coli (strain K12) GN=cysA PE=3 SV=2	12	753.74	41015.48876	203
P21156	cysD	Sulfate adenylyltransferase subunit 2 OS=Escherichia coli (strain K12) GN=cysD PE=1 SV=3	12	615.34	35147.8827	362
P09394	glpQ	Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2	12	522.55	40799.26496	1298
P0A6C5	argA	Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1	12	584.47	49146.47652	222
P36979	rlmN	Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1	12	679.23	43039.98018	755
P09053	avtA	Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) GN=avtA PE=3 SV=3	12	614.64	46662.96822	383
P14081	selB	Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) GN=selB PE=1 SV=3	12	717.82	68806.64349	58
P0A862	tpx	Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2	11	757.4	17806.20497	28899
P0ACF8	hns	DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2	11	778.89	15512.02414	47133
P0AEZ9	moaB	Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) GN=moaB PE=1 SV=2	11	868.03	18635.49217	2778
P0A9Q1	arcA	Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1	11	904.76	27256.91436	5464
P68919	rplY	50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1	11	568.56	10668.70954	45584
P0ABS1	dksA	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	11	923.54	17498.7338	19594
P0AC59	grxB	Glutaredoxin-2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1	11	561.28	24316.69694	1445
P10384	fadL	Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5	11	684.13	48493.51804	3157
P0ABA0	atpF	ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1	11	685.03	17235.28982	13934
P0ACJ0	lrp	Leucine-responsive regulatory protein OS=Escherichia coli (strain K12) GN=lrp PE=1 SV=2	11	416.09	18857.02597	3555
P0A6X7	ihfA	Integration host factor subunit alpha OS=Escherichia coli (strain K12) GN=ihfA PE=1 SV=1	11	537.93	11328.95837	4810
P37903	uspF	Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2	11	615.53	15988.50332	3013
P0A7J7	rplK	50S ribosomal protein L11 OS=Escherichia coli (strain K12) GN=rplK PE=1 SV=2	11	702.29	14847.87444	27559
P39177	uspG	Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2	11	840.32	15907.2748	3224
P0A7X3	rpsI	30S ribosomal protein S9 OS=Escherichia coli (strain K12) GN=rpsI PE=1 SV=2	11	393.35	14829.0118	20837
P28304	qorA	Quinone oxidoreductase 1 OS=Escherichia coli (strain K12) GN=qorA PE=1 SV=1	11	730.37	35132.52887	678
P0A6L2	dapA	Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1	11	682.04	31232.09735	3962
P22255	cysQ	3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2	11	649.8	27140.68135	978
P0ACG1	stpA	DNA-binding protein stpA OS=Escherichia coli (strain K12) GN=stpA PE=3 SV=1	11	654.45	15319.95488	5241
P0ADN2	yifE	UPF0438 protein yifE OS=Escherichia coli (strain K12) GN=yifE PE=1 SV=2	11	660.67	13107.43367	7327
P39325	ytfQ	ABC transporter periplasmic-binding protein ytfQ OS=Escherichia coli (strain K12) GN=ytfQ PE=1 SV=1	11	555.91	34304.83484	380
P0ADW3	yhcB	Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2	11	912.17	14933.50295	6150
P37051	purU	Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) GN=purU PE=1 SV=1	11	1030.44	31896.52381	1294
P39831	ydfG	NADP-dependent 3-hydroxy acid dehydrogenase YdfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2	11	603.49	27213.76185	2097
P0A8K1	psd	Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1	11	504.8	35893.65515	1882
P25906	ydbC	Putative oxidoreductase YdbC OS=Escherichia coli (strain K12) GN=ydbC PE=1 SV=1	11	694.81	30668.76971	345
P76113	curA	Putative NADP-dependent oxidoreductase yncB OS=Escherichia coli (strain K12) GN=yncB PE=3 SV=3	11	681.37	37567.99556	380
P30177	ybiB	Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1	11	508.11	35008.05566	859
P77774	bamB	Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1	11	674.84	41843.31901	1670
Q46845	yghU	Uncharacterized GST-like protein yghU OS=Escherichia coli (strain K12) GN=yghU PE=1 SV=2	11	716.21	32353.38694	488
P0A759	nagB	Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) GN=nagB PE=1 SV=1	11	457.8	29737.06131	1141
P77444	sufS	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=sufS PE=1 SV=1	11	689.39	44387.51743	177
P16703	cysM	Cysteine synthase B OS=Escherichia coli (strain K12) GN=cysM PE=1 SV=1	11	710.74	32625.48081	612
P0A9Q5	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	11	614.69	33282.06852	3440
P0AFL3	ppiA	Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1	11	676.01	20400.38325	2280
P30178	ybiC	Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2	11	1210.26	38854.31329	621
P69451	fadD	Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1	11	549.24	62274.45314	539
P45577	proQ	ProP effector OS=Escherichia coli (strain K12) GN=proQ PE=1 SV=2	11	867.86	25858.62351	4624
P0AC02	bamD	UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1	11	503.65	27793.80498	2107
P0AG84	yghA	Uncharacterized oxidoreductase yghA OS=Escherichia coli (strain K12) GN=yghA PE=1 SV=1	11	442.26	31450.32209	78
P0AG14	sohB	Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1	11	743.39	39323.69358	426
P00909	trpC	Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3	11	680.1	49312.34103	95
P11446	argC	N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1	11	750.6	35911.41235	231
P29745	pepT	Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2	11	570.65	44876.79994	204
P36767	rdgC	Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1	11	646.86	33953.48385	739
P0AES0	gss	Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1	11	521.79	70469.40032	102
P0A8G3	uxaC	Uronate isomerase OS=Escherichia coli (strain K12) GN=uxaC PE=3 SV=1	11	599.68	53934.61332	355
P0AAB4	ubiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1	11	562.56	55550.30277	712
P69805	manZ	Mannose permease IID component OS=Escherichia coli (strain K12) GN=manZ PE=1 SV=1	11	641.02	31264.58442	475
P76268	kdgR	Transcriptional regulator kdgR OS=Escherichia coli (strain K12) GN=kdgR PE=1 SV=1	11	636.45	29992.45783	866
P37349	dhaM	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3	11	764.21	51398.26995	354
P0AAG0	dppD	Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1	11	562.55	35803.4273	434
P39286	rsgA	Putative ribosome biogenesis GTPase RsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2	11	629.32	39150.93052	392
P08331	cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) GN=cpdB PE=1 SV=2	11	781.63	70769.81696	536
P0A821	selA	L-seryl-tRNA(Sec) selenium transferase OS=Escherichia coli (strain K12) GN=selA PE=1 SV=1	11	684.16	50557.49581	140
P27249	glnD	[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2	11	575.83	102307.94	280
P0A6J8	ddlA	D-alanine--D-alanine ligase A OS=Escherichia coli (strain K12) GN=ddlA PE=3 SV=1	11	845.5	39273.26165	897
P25519	hflX	GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3	11	911.29	48279.34506	437
P0A9F3	cysB	HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1	11	586.43	36109.85116	620
P0A9K7	phoU	Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1	11	647.52	27381.7359	587
P76536	yfeX	Uncharacterized protein yfeX OS=Escherichia coli (strain K12) GN=yfeX PE=3 SV=2	11	961.12	33013.46217	1098
P0AFD1	nuoE	NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1	11	656.05	18560.16361	5284
P37636	mdtE	Multidrug resistance protein mdtE OS=Escherichia coli (strain K12) GN=mdtE PE=1 SV=1	11	726.93	41147.45053	24
P24232	hmp	Flavohemoprotein OS=Escherichia coli (strain K12) GN=hmp PE=1 SV=1	11	595.45	43822.01281	349
P77247	yniC	Phosphatase YniC OS=Escherichia coli (strain K12) GN=yniC PE=1 SV=1	11	449.22	24296.69318	885
P0AG20	relA	GTP pyrophosphokinase OS=Escherichia coli (strain K12) GN=relA PE=1 SV=1	11	617.1	83805.0908	98
P37313	dppF	Dipeptide transport ATP-binding protein DppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1	11	485.78	37518.44931	235
P13024	fdhE	Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2	11	856.45	34706.33649	1583
P69776	lpp	Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1	10	601.85	8300.2889	65769
P0AED0	uspA	Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2	10	859.56	16038.13696	30073
P0A912	pal	Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1	10	820.78	18794.22893	21384
P0A7R5	rpsJ	30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1	10	541.09	11710.39634	103703
P60624	rplX	50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2	10	700.8	11291.29914	124761
P60723	rplD	50S ribosomal protein L4 OS=Escherichia coli (strain K12) GN=rplD PE=1 SV=1	10	570.55	22054.85068	49874
P0A8E7	yajQ	UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2	10	890.51	18314.5428	10699
P0AG44	rplQ	50S ribosomal protein L17 OS=Escherichia coli (strain K12) GN=rplQ PE=1 SV=1	10	515.63	14337.64689	46700
P0A7A9	ppa	Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2	10	663.31	19673.02389	14365
P0A7S9	rpsM	30S ribosomal protein S13 OS=Escherichia coli (strain K12) GN=rpsM PE=1 SV=2	10	775.08	13073.26157	72767
P21367	ycaC	Uncharacterized protein ycaC OS=Escherichia coli (strain K12) GN=ycaC PE=1 SV=1	10	656.84	23067.81755	998
P31133	potF	Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3	10	614.48	40795.98173	1192
P0ADY3	rplN	50S ribosomal protein L14 OS=Escherichia coli (strain K12) GN=rplN PE=1 SV=1	10	775.81	13514.43986	24357
P30860	artJ	ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2	10	660.72	26794.65139	1294
P31658	hchA	Chaperone protein hchA OS=Escherichia coli (strain K12) GN=hchA PE=1 SV=3	10	452.82	31152.59493	848
P0AEG4	dsbA	Thiol:disulfide interchange protein DsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1	10	518.39	23071.69653	4121
P0ABI8	cyoB	Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1	10	534.62	74300.34181	2424
P24186	folD	Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4	10	732.84	31006.32562	1452
P0A7Z0	rpiA	Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) GN=rpiA PE=1 SV=1	10	468.67	22827.97901	4467
P0A8B5	ybaB	UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1	10	701.89	11988.91312	11963
P08178	purM	Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3	10	909.59	36812.62949	564
P46130	ybhC	Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2	10	718.47	46035.84719	1546
P31142	sseA	3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3	10	903.66	30774.59912	2205
P25714	yidC	Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2	10	523.71	61468.37581	2030
P77499	sufC	Probable ATP-dependent transporter SufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1	10	704.74	27547.12225	298
P08244	pyrF	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1	10	451.31	26315.46192	1017
P0A8P3	yggX	Probable Fe(2+)-trafficking protein OS=Escherichia coli (strain K12) GN=yggX PE=1 SV=2	10	371.21	10927.41601	4247
P0ABJ9	cydA	Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1	10	647.64	58149.04843	1399
P77522	sufB	FeS cluster assembly protein sufB OS=Escherichia coli (strain K12) GN=sufB PE=1 SV=2	10	676.65	54692.59648	224
P0AAT9	ybeL	Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1	10	508.96	18767.35743	658
P23882	fmt	Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4	10	534.27	34128.84631	1587
P04846	nlpA	Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1	10	679.98	29387.44815	358
P0A9V1	lptB	Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2	10	833	26766.07681	2132
P17952	murC	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	10	658.89	53574.3631	671
P12008	aroC	Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4	10	567.91	39094.99499	469
P0AF28	narL	Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1	10	696.62	23893.68135	1765
P06610	btuE	Vitamin B12 transport periplasmic protein BtuE OS=Escherichia coli (strain K12) GN=btuE PE=3 SV=1	10	427.67	20438.34628	890
P0ADG4	suhB	Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1	10	639.59	29135.97683	3468
P33920	yejK	Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3	10	670.39	37781.14933	1147
P0AFM6	pspA	Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2	10	639.35	25459.21011	747
P75913	ghrA	Glyoxylate/hydroxypyruvate reductase A OS=Escherichia coli (strain K12) GN=ghrA PE=1 SV=2	10	658.05	35303.17335	1383
P0A9D2	gstA	Glutathione S-transferase OS=Escherichia coli (strain K12) GN=gst PE=1 SV=1	10	547.31	22835.83157	412
P76143	lsrF	Uncharacterized aldolase lsrF OS=Escherichia coli (strain K12) GN=lsrF PE=1 SV=1	10	660.63	31854.09188	117
P00547	thrB	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	10	514.66	33583.89194	442
P11880	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	10	633.27	47399.59944	850
P46853	yhhX	Uncharacterized oxidoreductase yhhX OS=Escherichia coli (strain K12) GN=yhhX PE=1 SV=1	10	569.68	38722.71557	792
P0ADR8	ygdH	LOG family protein ygdH OS=Escherichia coli (strain K12) GN=ygdH PE=1 SV=1	10	599.49	50921.20064	597
P09030	xthA	Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4	10	402.1	30931.52872	834
P21151	fadA	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	10	924.33	40831.62496	526
P0AG82	pstS	Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	10	596.96	36983.0841	301
P0AEG6	dsbC	Thiol:disulfide interchange protein DsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1	10	521.12	25586.89691	1356
P60390	rsmH	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	10	598.72	34838.18791	498
P0AET8	hdhA	7-alpha-hydroxysteroid dehydrogenase OS=Escherichia coli (strain K12) GN=hdhA PE=1 SV=1	10	492.48	26743.57852	200
P0A6D7	aroK	Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2	10	565.52	19508.09251	3205
P0ACA7	gstB	Uncharacterized GST-like protein yliJ OS=Escherichia coli (strain K12) GN=yliJ PE=1 SV=1	10	546.83	23680.16535	364
P0AF20	nagC	N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1	10	508.96	44495.56096	234
P75823	ltaE	Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1	10	587.83	36453.59645	411
P06983	hemC	Porphobilinogen deaminase OS=Escherichia coli (strain K12) GN=hemC PE=1 SV=2	10	517.65	33812.80201	732
P67087	rsmI	Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rsmI PE=1 SV=1	10	655.6	31310.56676	513
P0ACB7	hemY	Protein hemY OS=Escherichia coli (strain K12) GN=hemY PE=1 SV=1	10	435.37	45198.8272	323
P02919	mrcB	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	10	528.79	88815.91013	104
P0A6J5	dadA	D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1	10	484.9	47559.0476	1095
P0A7C2	lexA	LexA repressor OS=Escherichia coli (strain K12) GN=lexA PE=1 SV=1	10	589.13	22325.88481	1027
P17993	ubiG	3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1	10	599.7	26520.48429	1404
P0ADF8	ilvN	Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1	10	670.52	11080.60733	2811
P0ACB0	dnaB	Replicative DNA helicase OS=Escherichia coli (strain K12) GN=dnaB PE=1 SV=1	10	656.61	52339.69889	320
P77399	fadJ	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1	10	498.47	77005.72935	87
P39401	mdoB	Phosphoglycerol transferase I OS=Escherichia coli (strain K12) GN=mdoB PE=3 SV=2	10	459.54	85422.54757	171
P0A894	yhbJ	UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1	10	533.08	32453.73402	225
P30126	leuD	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	10	680.37	22455.24259	461
P43672	uup	ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2	10	532.11	72004.14163	420
P76097	ydcJ	Uncharacterized protein ydcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1	10	395.81	50992.62968	61
